Numero_Fiche;Codes_Rome_Code;Codes_Rome_Libelle
RNCP22433;K1802;Développement local
RNCP22608;E1106;Journalisme et information média
RNCP22750;H1401;Management et ingénierie gestion industrielle et logistique
RNCP22923;N4201;Direction d''exploitation des transports routiers de marchandises
RNCP23052;M1805;Études et développement informatique
RNCP23311;C1202;Analyse de crédits et risques bancaires
RNCP23463;H1206;Management et ingénierie études, recherche et développement industriel
RNCP23624;N1201;Affrètement transport
RNCP23737;N1301;Conception et organisation de la chaîne logistique
RNCP23862;H2502;Management et ingénierie de production
RNCP24076;H1102;Management et ingénierie d''affaires
RNCP24246;D1407;Relation technico-commerciale
RNCP24468;E1104;Conception de contenus multimédias
RNCP24623;M1202;Audit et contrôle comptables et financiers
RNCP24775;D1406;Management en force de vente
RNCP24870;M1707;Stratégie commerciale
RNCP25005;M1503;Management des ressources humaines
RNCP25148;K1602;Gestion de patrimoine culturel
RNCP25304;H1206;Management et ingénierie études, recherche et développement industriel
RNCP25491;H1201;Expertise technique couleur en industrie
RNCP25577;K2402;Recherche en sciences de l''univers, de la matière et du vivant
RNCP25702;H1502;Management et ingénierie qualité industrielle
RNCP25841;M1804;Études et développement de réseaux de télécoms
RNCP26000;I1305;Installation et maintenance électronique
RNCP26123;L1203;Art dramatique
RNCP26205;K1103;Développement personnel et bien-être de la personne
RNCP26304;M1806;Conseil et maîtrise d''ouvrage en systèmes d''information
RNCP26463;H1210;Intervention technique en études, recherche et développement
RNCP26572;H2102;Conduite d''équipement de production alimentaire
RNCP26676;M1805;Études et développement informatique
RNCP26794;K1705;Sécurité civile et secours
RNCP26915;J1202;Pharmacie
RNCP27036;H2502;Management et ingénierie de production
RNCP27148;H2502;Management et ingénierie de production
RNCP27317;H1206;Management et ingénierie études, recherche et développement industriel
RNCP27468;H2902;Chaudronnerie - tôlerie
RNCP27645;D1406;Management en force de vente
RNCP27786;E1104;Conception de contenus multimédias
RNCP27962;H1206;Management et ingénierie études, recherche et développement industriel
RNCP28131;D1406;Management en force de vente
RNCP28238;K2304;Revalorisation de produits industriels
RNCP28403;F1106;Ingénierie et études du BTP
RNCP28582;M1701;Administration des ventes
RNCP28714;M1204;Contrôle de gestion
RNCP28825;H1502;Management et ingénierie qualité industrielle
RNCP29035;E1401;Développement et promotion publicitaire
RNCP29252;K1401;Conception et pilotage de la politique des pouvoirs publics
RNCP29441;D1502;Management/gestion de rayon produits alimentaires
RNCP29670;H1102;Management et ingénierie d''affaires
RNCP29845;M1805;Études et développement informatique
RNCP30004;M1805;Études et développement informatique
RNCP30097;D1406;Management en force de vente
RNCP30176;G1204;Éducation en activités sportives
RNCP30323;K1903;Défense et conseil juridique
RNCP30415;K1401;Conception et pilotage de la politique des pouvoirs publics
RNCP30609;M1402;Conseil en organisation et management d''entreprise
RNCP30714;M1805;Études et développement informatique
RNCP30834;E1205;Réalisation de contenus multimédias
RNCP30967;K1802;Développement local
RNCP31141;E1103;Communication
RNCP31389;C1102;Conseil clientèle en assurances
RNCP31515;E1104;Conception de contenus multimédias
RNCP31904;F1103;Contrôle et diagnostic technique du bâtiment
RNCP31992;M1701;Administration des ventes
RNCP32077;H2903;Conduite d''équipement d''usinage
RNCP32174;K1705;Sécurité civile et secours
RNCP32344;B1501;Fabrication et réparation d''instruments de musique
RNCP34035;M1205;Direction administrative et financière
RNCP34099;F1105;Études géologiques
RNCP34171;C1109;Rédaction et gestion en assurances
RNCP34276;A1407;Élevage bovin ou équin
RNCP34381;K1403;Management de structure de santé, sociale ou pénitentiaire
RNCP34463;E1205;Réalisation de contenus multimédias
RNCP34555;H1102;Management et ingénierie d''affaires
RNCP34637;E1105;Coordination d''édition
RNCP34741;M1804;Études et développement de réseaux de télécoms
RNCP34829;K2106;Enseignement des écoles
RNCP34894;H1206;Management et ingénierie études, recherche et développement industriel
RNCP34984;H2301;Conduite d''équipement de production chimique ou pharmaceutique
RNCP35061;M1503;Management des ressources humaines
RNCP35153;D1406;Management en force de vente
RNCP35249;E1402;Élaboration de plan média
RNCP35345;H2907;Conduite d''installation de production des métaux
RNCP35402;M1401;Conduite d''enquêtes
RNCP35477;M1805;Études et développement informatique
RNCP35543;K1205;Information sociale
RNCP35636;H1206;Management et ingénierie études, recherche et développement industriel
RNCP35718;M1704;Management relation clientèle
RNCP35796;M1805;Études et développement informatique
RNCP35866;D1203;Hydrothérapie
RNCP35941;F1106;Ingénierie et études du BTP
RNCP36020;F1107;Mesures topographiques
RNCP36096;K1404;Mise en oeuvre et pilotage de la politique des pouvoirs publics
RNCP36173;H1402;Management et ingénierie méthodes et industrialisation
RNCP36267;G1402;Management d''hôtel-restaurant
RNCP36352;M1707;Stratégie commerciale
RNCP36426;B1602;Réalisation d''objets artistiques et fonctionnels en verre
RNCP36528;K2401;Recherche en sciences de l''homme et de la société
RNCP36586;M1805;Études et développement informatique
RNCP36672;M1801;Administration de systèmes d''information
RNCP36752;E1104;Conception de contenus multimédias
RNCP36814;M1301;Direction de grande entreprise ou d''établissement public
RNCP36910;F1201;Conduite de travaux du BTP et de travaux paysagers
RNCP36993;K2502;Management de sécurité privée
RNCP37087;M1402;Conseil en organisation et management d''entreprise
RNCP37200;H1206;Management et ingénierie études, recherche et développement industriel
RNCP37291;F1603;Installation d''équipements sanitaires et thermiques
RNCP37389;F1106;Ingénierie et études du BTP
RNCP37479;G1204;Éducation en activités sportives
RNCP37578;M1804;Études et développement de réseaux de télécoms
RNCP37658;E1402;Élaboration de plan média
RNCP37733;H1302;Management et ingénierie Hygiène Sécurité Environnement -HSE- industriels
RNCP37830;M1207;Trésorerie et financement
RNCP37925;H1208;Intervention technique en études et conception en automatisme
RNCP37992;H1301;Inspection de conformité
RNCP38082;H1302;Management et ingénierie Hygiène Sécurité Environnement -HSE- industriels
RNCP38160;K1902;Collaboration juridique
RNCP38219;K2402;Recherche en sciences de l''univers, de la matière et du vivant
RNCP38313;H2903;Conduite d''équipement d''usinage
RNCP38399;D1403;Relation commerciale auprès de particuliers
RNCP38485;A1501;Aide aux soins animaux
RNCP38577;I1304;Installation et maintenance d''équipements industriels et d''exploitation
RNCP38656;M1801;Administration de systèmes d''information
RNCP38728;F1607;Pose de fermetures menuisées
RNCP38817;I1401;Maintenance informatique et bureautique
RNCP38913;M1102;Direction des achats
RNCP38983;H1206;Management et ingénierie études, recherche et développement industriel
