code UAI;n° SIRET;type d'établissement;nom;sigle;statut;tutelle;université de rattachement libellé et UAI;université de rattachement ID et URL Onisep;établissements liés libellés;établissements liés URL et ID Onisep;boîte postale;adresse;CP;commune;commune (COG);cedex;telephone;arrondissement;département;académie;région;région (COG);longitude (X);latitude (Y);journées portes ouvertes;langues enseignées;URL et ID Onisep;date création;date de modification
0020080B;19020080800011;collège;Collège Pierre de la Ramée;;public;Ministère chargé de l'Éducation nationale;;;Lycée Pierre de la Ramée à Saint-Quentin (02);https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5702;;2 rue de Metz;02100;Saint-Quentin;02691;;03 23 62 28 19;;Aisne;Amiens;Hauts-de-France;32;3.29132;49.8492;;Allemand, Anglais, Espagnol, Italien, Langues et cultures de l'Antiquité : grec, Langues et cultures de l'Antiquité : latin, Russe;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2723;06/06/2020;20/05/2025
0311722D;19311722300019;collège;Collège Romain Rolland;;public;Ministère chargé de l'Éducation nationale;;;;;;Chemin de Belbèze;31240;Saint-Jean;31488;;05 61 37 67 00;;Haute-Garonne;Toulouse;Occitanie;76;1.50342;43.6625;;Allemand, Anglais, Espagnol, Langues et cultures de l'Antiquité : grec, Langues et cultures de l'Antiquité : latin, Langues et cultures européennes : anglais;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12365;06/06/2020;22/01/2024
0851293U;48825428500015;collège;Collège Saint-Gabriel Saint-Michel;;privé sous contrat;Ministère chargé de l'Éducation nationale;;;Lycée général et technologique Saint-Gabriel Saint-Michel à Saint-Laurent-sur-Sèvre (85) | Lycée professionnel privé Saint-Gabriel Saint-Michel à Saint-Laurent-sur-Sèvre (85);https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7064 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1002;BP 59;32 rue du Calvaire;85290;Saint-Laurent-sur-Sèvre;85238;;02 51 64 62 62;;Vendée;Nantes;Pays de la Loire;52;-0.891954;46.96;;Allemand, Anglais, Espagnol, Français et culture antique, Langues et cultures de l'Antiquité : latin;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2185;06/06/2020;14/12/2021
0260005P;19260005400014;collège;Collège Olivier de Serres;;public;Ministère chargé de l'Éducation nationale;;;;;BP 9;2 place du collège;26450;Cléon-d'Andran;26095;;04 75 90 13 32;;Drôme;Grenoble;Auvergne-Rhône-Alpes;84;4.93825;44.613;;Allemand, Anglais, Espagnol, Italien, Langues et cultures de l'Antiquité : latin, Langues et cultures européennes : anglais;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5436;06/06/2020;04/10/2022
9840354M;20002163200019;conservatoire régional;Conservatoire artistique territorial de Polynésie;CRR;public;Ministère de la Culture et de la communication;;;;;BP 463;Vallée de Tipaerui;98713;Papeete;98735;;689 50 14 14;;Polynésie française;Collectivités d'Outre Mer;Collectivités d'outre-mer;00;-149.57626104355;-17.552267805194;;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3154;06/06/2020;24/06/2026
0771068T;19771068400014;collège;Collège Rosa Bonheur;;public;Ministère chargé de l'Éducation nationale;;;;;;2 route de Fontaine le Port;77820;Le Châtelet-en-Brie;77100;;01 60 69 40 94;;Seine-et-Marne;Créteil;Ile-de-France;11;2.78733;48.5019;;Allemand, Anglais, Espagnol, Langues et cultures de l'Antiquité : grec, Langues et cultures de l'Antiquité : latin;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5482;06/06/2020;06/06/2020
0595391P;78364439600013;collège;Collège Saint-Jacques;;privé sous contrat;Ministère chargé de l'Éducation nationale;;;;;;60 rue Warein;59190;Hazebrouck;59295;;03 28 41 98 92;;Nord;Lille;Hauts-de-France;32;2.53025;50.7233;;Allemand, Anglais, Espagnol, Français et culture antique, Langues et cultures de l'Antiquité : latin, Langues et cultures européennes : anglais, Langues et cultures européennes : espagnol;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4081;06/06/2020;05/12/2024
;40783632900075;centre de formation d'apprentis;École Hermès des savoir-faire du pôle Franche Comté;;privé hors contrat;;;;;;;2 rue sur Baume;25490;Allenjoie;25011;;01 40 17 47 17;;Doubs;Besançon;Bourgogne-Franche-Comté;27;6.89735;47.53491;;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.25146;22/04/2025;16/06/2025
0350762N;19350762100012;collège;Collège Thérèse Pierre;;public;Ministère chargé de l'Éducation nationale;;;;;BP 10133;26 bis rue Duguay Trouin;35301;Fougères;35115;Cedex;02 99 99 23 85;;Ille-et-Vilaine;Rennes;Bretagne;53;-1.19397;48.3418;;Allemand, Anglais, Espagnol, Italien, Langues et cultures de l'Antiquité : latin;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11102;06/06/2020;08/10/2024
0440229K;78604315800058;collège;Collège Saint-Paul;;privé sous contrat;Ministère chargé de l'Éducation nationale;;;;;BP 29;66-68 rue Jean Jaurès;44401;Rezé;44143;Cedex;02 51 11 01 01;;Loire-Atlantique;Nantes;Pays de la Loire;52;-1.54675;47.1868;;Allemand, Anglais, Espagnol, Langues et cultures de l'Antiquité : latin, Langues et cultures européennes : anglais, Langues et cultures européennes : espagnol;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3572;06/06/2020;28/03/2022
