code UAI;n° SIRET;type d'établissement;nom;sigle;statut;tutelle;université de rattachement libellé et UAI;université de rattachement ID et URL Onisep;établissements liés libellés;établissements liés URL et ID Onisep;boîte postale;adresse;CP;commune;commune (COG);cedex;telephone;arrondissement;département;académie;région;région (COG);longitude (X);latitude (Y);journées portes ouvertes;langues enseignées;URL et ID Onisep;date création;date de modification
0681954E;32919829500019;école de santé;Institut de formation d'ambulanciers;IFA;privé;Ministère des Solidarités et de la Santé;;;;;;1 avenue Charles de Gaulle, Autoport Sud Alsace;68390;Sausheim;68300;;03 89 63 61 75;;Haut-Rhin;Strasbourg;Grand Est;44;7.37891;47.7745;;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17416;06/06/2020;24/10/2023
0360689D;26360003300058;école de santé;Institut de formation en soins infirmiers, d'aides-soignants et d'ambulanciers Châteauroux Le Blanc - site de Châteauroux;IFSI - IFAS - IFA;public;Ministère des Solidarités et de la Santé;;;Institut de formation d'aides-soignants Châteauroux Le Blanc - antenne d'Issoudun à Issoudun (36) | Institut de formation en soins infirmiers et d'aides-soignants Châteauroux Le Blanc - site de Le Blanc à Le Blanc (36);https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4063 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11067;BP 585;216 avenue de Verdun;36019;Châteauroux;36044;;02 54 29 60 31;;Indre;Orléans-Tours;Centre-Val de Loire;24;1.69335;46.7982;;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15783;06/06/2020;19/09/2025
0750663N;19750663700010;lycée général, technologique ou polyvalent;Lycée Chaptal;;public;Ministère chargé de l'Éducation nationale;;;Collège Chaptal à Paris (75);https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9215;;45 boulevard des Batignolles;75008;Paris;75100;;01 45 22 76 95;08;Paris;Paris;Ile-de-France;11;2.31967;48.8817;;Allemand, Anglais, Espagnol, Langues et cultures de l'Antiquité : grec, Langues et cultures de l'Antiquité : latin, Latin;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1865;06/06/2020;26/02/2025
0912433A;20009541200017;lycée général, technologique ou polyvalent;Lycée international Palaiseau Paris-Saclay;LIPPS;public;Ministère chargé de l'Éducation nationale;;;;;;19 cours Pierre Vasseur;91120;Palaiseau;91477;;01 85 37 13 15;;Essonne;Versailles;Ile-de-France;11;2.2050466;48.7129799;;Allemand, Anglais, Arabe, Espagnol;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23221;17/01/2023;08/01/2026
0762169V;19762169100017;lycée général, technologique ou polyvalent;Lycée Pablo Neruda;;public;Ministère chargé de l'Éducation nationale;;;;;;Chemin des Bruyères;76200;Dieppe;76217;;02 35 06 55 00;;Seine-Maritime;Normandie;Normandie;28;1.06547;49.9086;;Allemand, Anglais, Espagnol, Italien;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12284;06/06/2020;27/11/2025
0340115R;19340115500018;collège;Collège Paul Valéry;;public;Ministère chargé de l'Éducation nationale;;;Lycée Paul Valéry à Sète (34);https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15554;;55 rue Paul Valéry;34200;Sète;34301;;04 67 51 62 90;;Hérault;Montpellier;Occitanie;76;3.69155;43.4012;;Anglais, Espagnol, Italien, Langues et cultures de l'Antiquité : grec, Langues et cultures de l'Antiquité : latin;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6540;06/06/2020;15/05/2025
0131943S;19131943300022;collège;Collège Pierre Puget;;public;Ministère chargé de l'Éducation nationale;;;;;;62 rue du docteur escat;13006;Marseille;13200;;04 91 37 17 47;06;Bouches-du-Rhône;Aix-Marseille;Provence-Alpes-Côte d'Azur;93;5.37987;43.283;;Allemand, Anglais, Espagnol, Italien, Langues et cultures de l'Antiquité : grec, Langues et cultures de l'Antiquité : latin, Langues et cultures européennes : allemand;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8792;06/06/2020;06/06/2020
0694184Y;75203966900037;lycée professionnel;École lyonnaise d'esthétique appliquée;ELEA;privé hors contrat;;;;;;;41 quai Fulchiron;69005;Lyon;69380;;04 13 75 82 79;05;Rhône;Lyon;Auvergne-Rhône-Alpes;84;4.8215672;45.7519214;;Anglais;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19415;06/06/2020;09/12/2025
;21910691100239;conservatoire départemental;Conservatoire de musique et de danse du Val d'Yerres - Conservatoire à rayonnement départemental;CRD;public;Ministère de la Culture et de la communication;;;;;BP 103;78 route nationale 6;91805;Brunoy;91114;Cedex;01 60 47 94 20;;Essonne;Versailles;Ile-de-France;11;2.4884619;48.7132054;;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11039;06/06/2020;12/05/2026
0383298D;26380030200014;école de santé;Institut de formation d'auxiliaires de puériculture - CHU de Grenoble;IFAP;public;Ministère des Solidarités et de la Santé;;;;;CS 10217;CHU de Grenoble Alpes;38043;Grenoble;38185;Cedex 09;04 76 76 82 56;;Isère;Grenoble;Auvergne-Rhône-Alpes;84;5.734799862;45.1678009;;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10661;06/06/2020;07/11/2025
0430844J;31233053300026;centre de formation d'apprentis;Institut de formation professionnelle;IFP 43;privé;Ministère chargé des Entreprises et du commerce;;;;;;220 rue des Camélias;43370;Bains;43018;;04 71 57 98 00;;Haute-Loire;Clermont-Ferrand;Auvergne-Rhône-Alpes;84;3.78767;45.0131;;Anglais;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15874;06/06/2020;20/01/2026
0441783Z;78596647400013;lycée agricole;Lycée Briacé - site d'Ancenis;;privé sous contrat;Ministère de l'agriculture, de l'agro-alimentaire et de la souveraineté alimentaire;;;Lycée Briacé à Le Landreau (44);https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2373;;432 route de la Marchanderie;44115;Ancenis-Saint-Géréon;44003;;02 40 06 43 33;;Loire-Atlantique;Nantes;Pays de la Loire;52;-1.19704;47.389;;Allemand, Anglais, Espagnol;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18550;06/06/2020;17/02/2026
0911913K;19911913200017;lycée général, technologique ou polyvalent;Lycée de la vallée de Chevreuse;;public;Ministère chargé de l'Éducation nationale;;;;;;8 rue de Madrid;91190;Gif-sur-Yvette;91272;;01 69 18 87 00;;Essonne;Versailles;Ile-de-France;11;2.09724;48.7003;;Allemand, Anglais, Chinois, Espagnol, Italien, Langues et cultures de l'Antiquité : latin;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16170;06/06/2020;23/12/2025
;19501219000029;centre de formation d'apprentis;GRETA Côtes normandes - site de formation Le Havre sud;;public;;;;;;;16 rue de la vallée;76600;Le Havre;76351;;02 35 24 63 42;;Seine-Maritime;Normandie;Normandie;28;0.1495436;49.4927376;;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.25405;15/10/2025;07/01/2026
0753224X;82278886500019;autre établissement d'enseignement;Institut de Conciergerie Internationale;;privé;;;;;;;13 rue Fernand Léger;75020;Paris;75100;;01 47 04 01 96;20;Paris;Paris;Ile-de-France;11;2.38949;48.8639602;;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1088;06/06/2020;03/06/2026
0601211R;13002271800386;centre de formation d'apprentis;LAHO Oise;;privé;Ministère chargé des Entreprises et du commerce;;;École de gestion et de commerce de Lille à Lille (59) | LAHO Aisne à Laon (02) | LAHO Aisne à Saint-Quentin (02) | LAHO Artois Douaisis à Lens (62) | LAHO Artois Douaisis à Arras (62) | LAHO Grand Hainaut à Aulnoy-lez-Valenciennes (59) | LAHO Littoral - Audomarois à Boulogne-sur-Mer (62) | LAHO Littoral - Audomarois à Leulinghem (62) | LAHO Littoral - Audomarois à Saint-Omer (62) | LAHO Littoral - Audomarois à Coquelles (62) | LAHO Métropole lilloise à Roubaix (59) | LAHO Oise à Beauvais (60);https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12691 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13634 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24341 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6502 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.25628 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5658 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3106 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.22559 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5596 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24736 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17280 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19516;;230 rue Charles Somasco, Parc d'activités sud;60180;Nogent-sur-Oise;60463;;03 44 55 99 00;;Oise;Amiens;Hauts-de-France;32;2.49053;49.2712;;Anglais, Espagnol;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12488;06/06/2020;04/05/2026
0911784V;26910214100042;école de santé;Institut de formation paramédicale (IFPM) - GH Nord Essonne - Site de Longjumeau;;public;Ministère des Solidarités et de la Santé;;;;;;8 bis rue Maurice;91160;Longjumeau;91345;;01 64 54 29 45;;Essonne;Versailles;Ile-de-France;11;2.29074;48.6937;;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17507;06/06/2020;23/01/2025
0741410F;79337271500060;autre établissement d'enseignement;Ipso Campus - site Annecy;;privé hors contrat;;;;;;;86 avenue d'Aix les Bains, Seynod;74600;Annecy;74010;;04 50 51 59 12;;Haute-Savoie;Grenoble;Auvergne-Rhône-Alpes;84;6.1053229;45.889303;;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13872;06/06/2020;21/05/2026
0931565W;19931565600017;lycée général, technologique ou polyvalent;Lycée Flora Tristan;;public;Ministère chargé de l'Éducation nationale;;;;;;27 rue des Hauts Roseaux;93160;Noisy-le-Grand;93051;;01 48 15 16 60;;Seine-Saint-Denis;Créteil;Ile-de-France;11;2.57385;48.8432;;Allemand, Anglais, Chinois, Espagnol, Langues et cultures de l'Antiquité : grec, Langues et cultures de l'Antiquité : latin;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4172;06/06/2020;05/02/2025
6200059V;19201002300021;centre de formation d'apprentis;GRETA-CFA de la Corse-du-Sud;CFA-GRETA 2A;public;Ministère chargé de l'Éducation nationale;;;;;CS 20845;3 avenue Napoléon III;20184;Ajaccio;2A004;Cedex 01;04 95 29 68 78;;Corse-du-Sud;Corse;Corse;94;8.73328;41.926221;;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16805;06/06/2020;17/02/2026
0352089F;77567227233372;école de santé;Croix-Rouge Compétence - site de Rennes;;privé;Ministère des Solidarités et de la Santé;;;;;;10 rue André et Yvonne Meynier;35000;Rennes;35238;;02 98 05 22 40;;Ille-et-Vilaine;Rennes;Bretagne;53;-1.69164;48.1095;;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5751;06/06/2020;17/12/2025
0860758G;77571614500039;collège;Collège privé la Providence - La Salle;;privé sous contrat;Ministère chargé de l'Éducation nationale;;;;;CS 50281;26 rue René Descartes;86007;Poitiers;86194;Cedex;05 49 88 17 95;;Vienne;Poitiers;Nouvelle-Aquitaine;75;0.341442;46.585;;Allemand, Anglais, Espagnol, Langues et cultures de l'Antiquité : grec, Langues et cultures de l'Antiquité : latin;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15242;06/06/2020;18/02/2026
0492552H;26490039000024;école de santé;Institut de formation d'auxiliaire de puériculture;IFAP;public;Ministère des Solidarités et de la Santé;;;Institut de formation d'aides-soignants à Cholet (49) | Institut de formation en soins infirmiers à Cholet (49);https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9706 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.855;;1 rue Marengo;49325;Cholet;49099;Cedex;02 41 49 66 57;;Maine-et-Loire;Nantes;Pays de la Loire;52;-0.8967229;47.0419622;;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.25416;28/10/2025;03/11/2025
0311846N;19311846000016;collège;Collège Vincent Auriol;;public;Ministère chargé de l'Éducation nationale;;;Lycée général et technologique Vincent Auriol à Revel (31);https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16346;;36 route de Sorèze;31250;Revel;31451;;05 34 66 69 40;;Haute-Garonne;Toulouse;Occitanie;76;2.01174;43.4558;;Allemand, Anglais, Espagnol, Langues et cultures de l'Antiquité : latin;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.950;06/06/2020;05/01/2023
0840854X;18843701600036;école de santé;ERFPP - Institut de formation d'ambulanciers - GIPES d'Avignon et Pays de Vaucluse;IFA;public;Ministère des Solidarités et de la Santé;;;;;TSA 78421;740 chemin des Meinajariès;84907;Avignon;84007;Cedex 09;04 32 40 37 00;;Vaucluse;Aix-Marseille;Provence-Alpes-Côte d'Azur;93;4.8909512;43.9086518;;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19191;06/06/2020;18/11/2025
0593255T;19593255300017;lycée agricole;Lycée Biotech;;public;Ministère de l'agriculture, de l'agro-alimentaire et de la souveraineté alimentaire;;;;;BP 90730;458 rue de la Motte Julien, Wagnonville;59507;Douai;59178;Cedex;03 27 99 75 55;;Nord;Lille;Hauts-de-France;32;3.0656;50.3897;;Allemand, Anglais, Espagnol, Italien;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19001;06/06/2020;17/02/2026
0762953X;19762953800012;lycée général, technologique ou polyvalent;Lycée de la Côte d'Albâtre;;public;Ministère chargé de l'Éducation nationale;;;;;BP 20006;24 bis rue du Noroît;76460;Saint-Valéry-en-Caux;76655;;02 35 57 80 10;;Seine-Maritime;Normandie;Normandie;28;0.695938;49.8629;;Allemand, Anglais, Espagnol, Italien, Langues et cultures de l'Antiquité : latin;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2827;06/06/2020;27/11/2025
0470747G;20005309800139;école de santé;Institut de formations des professionnels de santé - centre hospitalier Agen Nérac;IFA IFAP IFAS IFSI;public;Ministère des Solidarités et de la Santé;;;;;;Route de Villeneuve, Centre hospitalier Agen-Nérac;47923;Agen;47001;Cedex 09;05 53 77 78 00;;Lot-et-Garonne;Bordeaux;Nouvelle-Aquitaine;75;0.636074;44.2168;;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11849;06/06/2020;12/02/2026
0190764C;26192750300035;école de santé;Institut de formation d'Ussel - centre hospitalier de Haute Corrèze;IFAS IFSI;public;Ministère des Solidarités et de la Santé;;;Institut de formation d'Ussel - centre hospitalier de Haute Corrèze - antenne de Limoges à Limoges (87);https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24162;;2 avenue du Docteur Roullet;19208;Ussel;19275;Cedex;05 55 96 40 23;;Corrèze;Limoges;Nouvelle-Aquitaine;75;2.31321;45.5432;;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9765;06/06/2020;17/02/2026
0940319L;19940319700015;établissement régional d'enseignement adapté;Établissement régional d'enseignement adapté - LEA - François Cavanna;EREA;public;Ministère chargé de l'Éducation nationale;;;;;;3 avenue de Joinville;94130;Nogent-sur-Marne;94052;;01 48 73 41 21;;Val-de-Marne;Créteil;Ile-de-France;11;2.47359;48.835;;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9121;06/06/2020;13/03/2025
0763238G;13002333600162;centre de formation de fonctionnaires;École nationale de police de Rouen-Oissel;ENP;public;Ministère de l'Intérieur;;;;;;Route des Essarts;76350;Oissel;76484;;02 32 66 60 42;;Seine-Maritime;Normandie;Normandie;28;1.0850104;49.3474213;;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7805;06/06/2020;26/01/2026
9741256X;31566803800021;lycée général, technologique ou polyvalent;Lycée général et technologique privé Levavasseur;;privé sous contrat;Ministère chargé de l'Éducation nationale;;;Centre de formation d'apprentis de l'enseignement catholique de la Réunion-Ensemble scolaire Levavasseur à Saint-Denis (974) | Collège privé catholique Levavasseur à Sainte-Marie (974);https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19773 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17261;;4 rue Fénelon;97400;Saint-Denis;97411;Cedex;02 62 21 06 26;;La Réunion;La Réunion;La Réunion;04;55.4484902;-20.8868672;;Allemand, Anglais, Chinois, Espagnol, Langues et cultures de l'Antiquité : latin;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11630;06/06/2020;25/06/2025
;;établissement scolaire public innovant;Lycée de la nouvelle chance académique;LNC;public;Ministère chargé de l'Éducation nationale;;;Lycée général et technologique Sidoine Apollinaire à Clermont-Ferrand (63) | Lycée polyvalent de Haute Auvergne à Saint-Flour (15) | Lycée polyvalent Jean Monnet à Yzeure (03) | Lycée polyvalent Paul Constans à Montluçon (03) | Lycée polyvalent Valery Giscard d'Estaing à Chamalières (63) | Lycée professionnel Amédée Gasquet à Clermont-Ferrand (63) | Lycée professionnel Auguste Aymard à Espaly-Saint-Marcel (43) | Lycée professionnel Raymond Cortat à Aurillac (15);https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6467 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3650 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7297 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7784 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13061 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17559 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12840 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5802;;3 avenue Vercingétorix, DAFPIC-GIP;63033;Clermont-Ferrand;63113;Cedex 01;04 73 99 35 91;;Puy-de-Dôme;Clermont-Ferrand;Auvergne-Rhône-Alpes;84;3.0874746;45.7725479;;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17367;06/06/2020;20/06/2023
0931200Z;19931200000029;collège;Collège Pierre Sémard;;public;Ministère chargé de l'Éducation nationale;;;;;;1 place Maurice Niles;93700;Drancy;93029;;01 86 78 37 30;;Seine-Saint-Denis;Créteil;Ile-de-France;11;2.43624;48.9264;;Allemand, Anglais, Espagnol, Langues et cultures de l'Antiquité : latin;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15294;06/06/2020;10/10/2025
0740105M;77653397800024;collège;Collège privé la Salle;;privé sous contrat;Ministère chargé de l'Éducation nationale;;;;;;7 chemin du Bray;74940;Annecy;74010;;04 50 23 46 13;;Haute-Savoie;Grenoble;Auvergne-Rhône-Alpes;84;6.14945;45.9182;;Allemand, Anglais, Espagnol, Italien, Langues et cultures de l'Antiquité : latin, Langues et cultures européennes : anglais;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12427;06/06/2020;25/03/2024
0880101G;48398606300020;lycée général, technologique ou polyvalent;Ensemble scolaire Notre-Dame - Saint-Joseph (lycée);;privé sous contrat;Ministère chargé de l'Éducation nationale;;;Collège Notre-Dame Saint-Joseph à Épinal (88) | Ensemble scolaire Notre-Dame - Saint-Joseph (lycée professionnel) à Épinal (88);https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8976 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14418;;23 rue Thiers;88000;Épinal;88160;;03 29 64 43 43;;Vosges;Nancy-Metz;Grand Est;44;6.45231;48.1694;;Allemand, Anglais, Chinois, Espagnol, Langue des signes française, Langues et cultures de l'Antiquité : grec, Langues et cultures de l'Antiquité : latin;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15183;06/06/2020;26/06/2026
0441975H;19440029700025;centre de formation d'apprentis;GRETA - site de Saint-Nazaire;;public;Ministère chargé de l'Éducation nationale;;;GRETA-CFA Loire-Atlantique à Nantes (44) | GRETA - site de Châteaubriant à Châteaubriant (44) | GRETA - site de Jean Moulin à Nantes (44) | GRETA - site de Saint-Herblain à Saint-Herblain (44);https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9724 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.22191 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.22190 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.22188;;4 boulevard Pierre de Coubertin;44600;Saint-Nazaire;44184;;02 40 14 56 56;;Loire-Atlantique;Nantes;Pays de la Loire;52;-2.2320333;47.2734256;;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.22189;08/10/2021;15/10/2025
0142487C;98023585700037;centre de formation d'apprentis;École Hermès des savoir-faire de la vallée de l'Orne;;privé;;;;;;;5 rue Paul Fort;14730;Giberville;14301;;01 44 73 79 34;;Calvados;Normandie;Normandie;28;-0.2916753;49.1695518;;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.25786;02/06/2026;25/06/2026
0531015R;26530008700151;école de santé;Institut de formation d'aides-soignants du Centre hospitalier du Haut-Anjou;IFAS;public;Ministère des Solidarités et de la Santé;;;;;;5 rue Henri Dunant;53200;Château-Gontier-sur-Mayenne;53062;;02 43 06 37 25;;Mayenne;Nantes;Pays de la Loire;52;-0.7094654;47.8313782;;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8011;06/06/2020;26/05/2026
0590035T;19590035200012;lycée général, technologique ou polyvalent;Lycée Fénelon;;public;Ministère chargé de l'Éducation nationale;;;Collège Fénelon à Cambrai (59) | La prépa des INP de Cambrai à Cambrai (59);https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11184 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.22983;BP 407;Place Fénelon;59400;Cambrai;59122;;03 27 72 77 77;;Nord;Lille;Hauts-de-France;32;3.2288861274719;50.175654462961;;Allemand, Anglais, Espagnol, Italien, Langues et cultures de l'Antiquité : grec, Langues et cultures de l'Antiquité : latin;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1386;06/06/2020;12/02/2026
0750695Y;19750695900018;lycée général, technologique ou polyvalent;Lycée polyvalent Fresnel;;public;Ministère chargé de l'Éducation nationale;;;;;;19 rue Friant;75014;Paris;75100;;01 53 69 62 62;14;Paris;Paris;Ile-de-France;11;2.3240787;48.825206;;Anglais;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10504;06/06/2020;01/12/2025
0290186V;77762037800011;lycée général, technologique ou polyvalent;Lycée polyvalent Le Paraclet;;privé sous contrat;Ministère chargé de l'Éducation nationale;;;;;;35 avenue des Glénan;29018;Quimper;29232;Cedex;02 98 55 54 38;;Finistère;Rennes;Bretagne;53;-4.11413;47.9951;;Allemand, Anglais, Espagnol, Italien;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19019;06/06/2020;13/04/2026
0141161L;78071371500081;lycée général, technologique ou polyvalent;Lycée privé Jeanne d'Arc;;privé sous contrat;Ministère chargé de l'Éducation nationale;;;;;;27 rue Claude Chappe;14000;Caen;14118;;02 31 29 33 88;;Calvados;Normandie;Normandie;28;-0.395376;49.1815;;Allemand, Anglais, Espagnol, Italien, Langues et cultures de l'Antiquité : latin, Russe;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9750;06/06/2020;20/11/2025
0740003B;19740003900016;lycée général, technologique ou polyvalent;Lycée général Berthollet;;public;Ministère chargé de l'Éducation nationale;;;;;BP 316;9 boulevard du lycée;74008;Annecy;74010;Cedex;04 50 51 38 64;;Haute-Savoie;Grenoble;Auvergne-Rhône-Alpes;84;6.12742;45.9067;;Allemand, Anglais, Espagnol, Grec ancien, Italien, Langues et cultures de l'Antiquité : grec, Langues et cultures de l'Antiquité : latin, Latin, Russe;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13878;06/06/2020;06/11/2025
0840001V;19840001200011;lycée général, technologique ou polyvalent;Lycée polyvalent Charles de Gaulle;;public;Ministère chargé de l'Éducation nationale;;;Collège Charles de Gaulle à Apt (84);https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3521;BP 149;104 place Charles de Gaulle;84405;Apt;84003;Cedex;04 90 74 11 19;;Vaucluse;Aix-Marseille;Provence-Alpes-Côte d'Azur;93;5.40384;43.877;;Allemand, Anglais, Chinois, Espagnol, Italien, Langues et cultures de l'Antiquité : latin;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7377;06/06/2020;17/02/2026
9741052A;19974152100017;lycée général, technologique ou polyvalent;Lycée polyvalent Gérard Ethève;;public;Ministère chargé de l'Éducation nationale;;;;;BP 17;Chemin départemental 11;97424;Saint-Leu;97413;;02 62 34 20 20;;La Réunion;La Réunion;La Réunion;04;55.290325;-21.173677;;Allemand, Anglais, Créole, Espagnol, Langues et cultures de l'Antiquité : latin;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15547;06/06/2020;24/06/2025
0640181Z;41024149100019;lycée général, technologique ou polyvalent;Lycée polyvalent privé Saint-Joseph;;privé sous contrat;Ministère chargé de l'Éducation nationale;;;;;;85 route des Missionnaires;64240;Hasparren;64256;;05 59 70 29 30;;Pyrénées-Atlantiques;Bordeaux;Nouvelle-Aquitaine;75;-1.305;43.3812;;Anglais, Basque, Espagnol;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19790;06/06/2020;18/06/2026
0850082C;78644696300054;collège;Collège Richelieu;;privé sous contrat;Ministère chargé de l'Éducation nationale;;;;;BP 349;10 rue François Truffaut;85009;La Roche-sur-Yon;85191;Cedex;02 51 47 89 00;;Vendée;Nantes;Pays de la Loire;52;-1.4084;46.6548;;Allemand, Anglais, Espagnol, Langues et cultures de l'Antiquité : latin, Langues et cultures européennes : anglais;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13488;06/06/2020;06/04/2023
0771222K;32882511200027;collège;Collège privé Sainte-Céline;;privé sous contrat;Ministère chargé de l'Éducation nationale;;;;;;29 rue Pierre Marx;77260;La Ferté-sous-Jouarre;77183;;01 60 22 05 92;;Seine-et-Marne;Créteil;Ile-de-France;11;3.12716;48.9487;;Allemand, Anglais, Espagnol, Langues et cultures de l'Antiquité : latin;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12209;06/06/2020;06/06/2020
0622142S;31615920100011;collège;Collège Notre-Dame;;privé sous contrat;Ministère chargé de l'Éducation nationale;;;;;;5 rue Candide Couzin;62380;Lumbres;62534;;03 21 39 60 85;;Pas-de-Calais;Lille;Hauts-de-France;32;2.12262;50.7066;;Allemand, Anglais, Espagnol, Langues et cultures de l'Antiquité : latin;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14797;06/06/2020;20/10/2025
0421455D;19421455700010;collège;Collège Michel de Montaigne;;public;Ministère chargé de l'Éducation nationale;;;;;;Rue Claudius Roche;42510;Balbigny;42011;;04 77 27 20 33;;Loire;Lyon;Auvergne-Rhône-Alpes;84;4.19296;45.816;;Allemand, Anglais, Espagnol, Langues et cultures de l'Antiquité : latin;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6829;06/06/2020;28/04/2021
0251370D;92130865600013;conservatoire régional;Conservatoire à rayonnement régional - grand Besançon;CRR;public;Ministère de la Culture et de la communication;;;;;;1 passage des Arts, Cité des Arts;25000;Besançon;25056;;03 81 87 87 00;;Doubs;Besançon;Bourgogne-Franche-Comté;27;6.0336936;47.2366386;;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12135;06/06/2020;20/05/2026
0360019A;19360019400016;lycée général, technologique ou polyvalent;Lycée polyvalent George Sand;;public;Ministère chargé de l'Éducation nationale;;;;;BP 144;25 avenue George Sand;36400;La Châtre;36046;;02 54 62 17 00;;Indre;Orléans-Tours;Centre-Val de Loire;24;1.97744;46.5835;;Allemand, Anglais, Espagnol, Langues et cultures de l'Antiquité : grec, Langues et cultures de l'Antiquité : latin;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4958;06/06/2020;14/10/2024
