code NSF;code scolarité;sigle type formation;libellé type formation;libellé formation principal;sigle formation;durée;niveau de sortie indicatif;code RNCP;niveau de certification;libellé niveau de certification;tutelle;URL et ID Onisep;domaine/sous-domaine;date création;date de modification
242;46M24202;BTM;brevet technique des métiers;BTM tapissier décorateur option couture;;2 ans;bac ou équivalent;41091;4;niveau 4;Chambres de métiers et de l'artisanat;https://www.onisep.fr/http/redirection/formation/slug/FOR.11981;arts, culture, artisanat/artisanat d'art;01/10/2025;14/10/2025
333;;;préparation à l'agrégation;préparation à l'agrégation de langues vivantes étrangères option néerlandais;;1 an;bac + 5;;0;non inscrit au RNCP;non renseigné;https://www.onisep.fr/http/redirection/formation/slug/FOR.5753;lettres, langues, enseignement/enseignement | lettres, langues, enseignement/langues;06/06/2020;01/09/2025
255;;FCIL;formation complémentaire d'initiative locale;FCIL maintenance des équipements audiovisuels et électroménagers;;1 an;bac + 1;;0;non inscrit au RNCP;non renseigné;https://www.onisep.fr/http/redirection/formation/slug/FOR.4437;électricité, électronique, robotique/électronique | électricité, électronique, robotique/électrotechnique | matières premières, fabrication, industries/maintenance, qualité;06/06/2020;14/06/2024
310;43031016;;classe de 1re technologique;classe de 1re STMG sciences et technologies du management et de la gestion;STMG;1 an;1re;;0;non inscrit au RNCP;Ministère chargé de l'Éducation nationale;https://www.onisep.fr/http/redirection/formation/slug/FOR.3562;gestion des entreprises, comptabilité/administration de l'entreprise;06/06/2020;29/05/2026
200;;CPI;cycle préparatoire intégré;cycle préparatoire intégré de l'École supérieure d'informatique,  électronique, automatique;ESIEA;2 ans;bac + 2;;0;non inscrit au RNCP;non renseigné;https://www.onisep.fr/http/redirection/formation/slug/FOR.7851;gestion des entreprises, comptabilité/administration de l'entreprise | électricité, électronique, robotique/électronique | informatique, Internet/informatique (généralités) | sciences/mathématiques | sciences/physique | informatique, Internet/systèmes et réseaux;05/07/2022;07/07/2025
311 | 310;;;formation d'école spécialisée;responsable logistique de l'action humanitaire;;1 an;bac + 3;35656;2;niveau 6;non renseigné;https://www.onisep.fr/http/redirection/formation/slug/FOR.7079;logistique, transport/logistique | santé, social, sport/travail social;24/06/2021;24/02/2025
250 | 201 | 251;17025018;;diplôme d'ingénieur;diplôme d'ingénieur ENSIL-ENSCI de l'université de Limoges spécialité mécatronique;ENSIL-ENSCI;3 ans;bac + 5;36536;1;niveau 7;Ministère de l'Enseignement supérieur et de la Recherche;https://www.onisep.fr/http/redirection/formation/slug/FOR.7987;mécanique/aéronautique | mécanique/automatismes | électricité, électronique, robotique/électronique | matières premières, fabrication, industries/études et développement | matières premières, fabrication, industries/fonction production (généralités) | informatique, Internet/informatique (généralités) | mécanique/mécanique (généralités);21/07/2022;09/04/2026
233;;;formation d'école spécialisée;designer en espaces intérieurs;;3 ans;bac + 3;41357;2;niveau 6;non renseigné;https://www.onisep.fr/http/redirection/formation/slug/FOR.12243;arts, culture, artisanat/arts appliqués;05/12/2025;02/03/2026
340;;;préparation aux concours de la fonction publique;préparation aux concours de catégorie C de la fonction publique;;1 an;non renseigné;;0;non inscrit au RNCP;non renseigné;https://www.onisep.fr/http/redirection/formation/slug/FOR.1261;lettres, langues, enseignement/formations généralistes;06/06/2020;13/06/2025
;;CPI;cycle préparatoire intégré;premier cycle INSA post bac général - STPI sciences et technologies pour l'ingénieur de l'INSA Rouen Normandie;INSA Rouen;2 ans;bac + 2;;0;non inscrit au RNCP;non renseigné;https://www.onisep.fr/http/redirection/formation/slug/FOR.8172;sciences/chimie | environnement, énergies, propreté/énergies | informatique, Internet/informatique (généralités) | sciences/mathématiques | mécanique/mécanique (généralités) | information-communication, audiovisuel/technologies de l'information;26/10/2022;02/05/2024
326;;;formation d'école spécialisée;bachelor développeur web;;3 ans;bac + 3;;0;non inscrit au RNCP;non renseigné;https://www.onisep.fr/http/redirection/formation/slug/FOR.8092;informatique, Internet/développement, programmation, logiciel | information-communication, audiovisuel/multimédia;08/09/2022;06/01/2025
310 | 314 | 312;16531015;;diplôme d'école de commerce visé de niveau bac + 4 ou 5;diplôme du programme grande école en management et gestion des entreprises de l'ESDES;;5 ans;bac + 5;36271;1;niveau 7;Ministère de l'Enseignement supérieur et de la Recherche;https://www.onisep.fr/http/redirection/formation/slug/FOR.1248;gestion des entreprises, comptabilité/administration de l'entreprise | commerce, marketing, vente/marketing, vente;06/06/2020;15/06/2026
128;;;préparation aux concours de la fonction publique;classe prépa talents de l'Ecole nationale de la magistrature;;1 an;bac + 5;;0;non inscrit au RNCP;Ministère de la Justice;https://www.onisep.fr/http/redirection/formation/slug/FOR.2045;économie, droit, politique/activité judiciaire;06/06/2020;24/06/2026
310;16X31063;mastère spé.;mastère spécialisé;mastère spé. transformation digitale, marketing et stratégie;;1 an;bac + 6;36864;1;niveau 7;non renseigné;https://www.onisep.fr/http/redirection/formation/slug/FOR.2959;commerce, marketing, vente/marketing, vente | information-communication, audiovisuel/multimédia;06/06/2020;27/02/2024
332;;;classe de mise à niveau post bac;préparation à l'entrée dans les formations sociales (niveau post bac);;1 an;bac + 1;;0;non inscrit au RNCP;Ministère de l'Enseignement supérieur et de la Recherche;https://www.onisep.fr/http/redirection/formation/slug/FOR.331;santé, social, sport/travail social;06/06/2020;25/11/2025
131;;DU;diplôme d'université;DU études françaises contemporaines;;1 an;bac + 1;;0;non inscrit au RNCP;non renseigné;https://www.onisep.fr/http/redirection/formation/slug/FOR.3832;lettres, langues, enseignement/langues;06/06/2020;27/09/2024
115;13511517;;master;master mention physique fondamentale et applications;;2 ans;bac + 5;38994;1;niveau 7;Ministère de l'Enseignement supérieur et de la Recherche;https://www.onisep.fr/http/redirection/formation/slug/FOR.10202;sciences/physique;24/06/2024;07/10/2024
242;;FCIL;formation complémentaire d'initiative locale;FCIL tailleur homme;;1 an;bac + 1;;0;non inscrit au RNCP;non renseigné;https://www.onisep.fr/http/redirection/formation/slug/FOR.2816;matières premières, fabrication, industries/textile, habillement;06/06/2020;02/05/2024
211;46321109;CS;certificat de spécialisation (agriculture);CS conduite de productions en arboriculture fruitière;;1 an;bac + 1;38875;4;niveau 4;Ministère de l'agriculture, de l'agro-alimentaire et de la souveraineté alimentaire;https://www.onisep.fr/http/redirection/formation/slug/FOR.9776;agriculture, animaux/cultures;05/02/2024;07/01/2026
310;16X31059;mastère spé.;mastère spécialisé;mastère spé. management global des achats et de la Supply Chain;MASC;1 an;bac + 6;36391;1;niveau 7;non renseigné;https://www.onisep.fr/http/redirection/formation/slug/FOR.7615;commerce, marketing, vente/achat, approvisionnement | logistique, transport/logistique;05/04/2022;02/05/2024
326;;;classe de mise à niveau post bac;année préparatoire arts 2D 3D;;1 an;bac + 1;;0;non inscrit au RNCP;non renseigné;https://www.onisep.fr/http/redirection/formation/slug/FOR.1831;arts, culture, artisanat/arts graphiques | information-communication, audiovisuel/multimédia;06/06/2020;29/10/2024
343;13534336;;master;master mention gestion de l'environnement;;2 ans;bac + 5;39184;1;niveau 7;Ministère de l'Enseignement supérieur et de la Recherche;https://www.onisep.fr/http/redirection/formation/slug/FOR.10346;environnement, énergies, propreté/aménagement du territoire | sciences/biologie | économie, droit, politique/droit appliqué | environnement, énergies, propreté/environnement (généralités) | matières premières, fabrication, industries/génie industriel | environnement, énergies, propreté/protection des espaces naturels;19/07/2024;30/08/2024
