session;contrat_etab;cod_uai;g_ea_lib_vx;dep;dep_lib;region_etab_aff;acad_mies;select_form;fili;lib_comp_voe_ins;form_lib_voe_acc;regr_forma;fil_lib_voe_acc;detail_forma;lien_form_psup;g_olocalisation_des_formations;capa_fin;voe_tot;voe_tot_f;nb_voe_pp;nb_voe_pp_internat;nb_voe_pp_bg;nb_voe_pp_bg_brs;nb_voe_pp_bt;nb_voe_pp_bt_brs;nb_voe_pp_bp;nb_voe_pp_bp_brs;nb_voe_pp_at;nb_voe_pc;nb_voe_pc_bg;nb_voe_pc_bt;nb_voe_pc_bp;nb_voe_pc_at;nb_cla_pp;nb_cla_pc;nb_cla_pp_internat;nb_cla_pp_pasinternat;nb_cla_pp_bg;nb_cla_pp_bg_brs;nb_cla_pp_bt;nb_cla_pp_bt_brs;nb_cla_pp_bp;nb_cla_pp_bp_brs;nb_cla_pp_at;prop_tot;acc_tot;acc_tot_f;acc_pp;acc_pc;acc_debutpp;acc_datebac;acc_finpp;acc_internat;acc_brs;acc_neobac;acc_bg;acc_bt;acc_bp;acc_at;acc_mention_nonrenseignee;acc_sansmention;acc_ab;acc_b;acc_tb;acc_bg_mention;acc_bt_mention;acc_bp_mention;acc_term;acc_term_f;acc_aca_orig;acc_aca_orig_idf;pct_acc_debutpp;pct_acc_datebac;pct_acc_finpp;pct_f;pct_aca_orig;pct_aca_orig_idf;pct_etab_orig;pct_bours;pct_neobac;pct_mention_nonrenseignee;pct_sansmention;pct_ab;pct_b;pct_tb;pct_bg;pct_bg_mention;pct_bt;pct_bt_mention;pct_bp;pct_bp_mention;prop_tot_bg;prop_tot_bg_brs;prop_tot_bt;prop_tot_bt_brs;prop_tot_bp;prop_tot_bp_brs;prop_tot_at;lib_grp1;ran_grp1;lib_grp2;ran_grp2;lib_grp3;ran_grp3;lib_grp4;ran_grp4;lib_grp5;ran_grp5;taux_adm_psup;taux_adm_psup_pro;taux_adm_psup_gen;taux_adm_psup_techno;tri;cod_aff_form
2020;Public;0291660X;Université de Brest - Site de Quimper;29;Finistère;Bretagne;Rennes;formation non selec;Licence;Université de Brest - Licence - Langues étrangères appliquées - LEA Anglais, Chinois;Licence - Arts-lettres-langues;;Langues étrangères appliquées;LEA Anglais, Chinois : Université de Brest - Site de Quimper;https://dossier.parcoursup.fr/Candidat/carte?ACTION=2&g_ti_cod=28759&g_ta_cod=28760;47.9723, -4.0933;40;184;135;149;;92;28;17;5;6;3;34;35;3;2;0;30;149;29;;;92;28;17;5;6;3;34;152;20;12;14;6;4.0;14.0;19.0;;5;11;6;4;1;9;0;4;5;2;0;4;3;0;;;10;10;20.0;70.0;95.0;60.0;90.91;90.91;;45.45;55.0;0.0;36.36363636363637;45.45454545454545;18.181818181818183;0.0;54.54545454545454;36.36;36.36363636363637;27.27;9.090909090909092;0.0;78.0;21.0;18.0;6.0;5.0;2.0;51.0;Tous les candidats;235.0;;;;;;;;;100.0;5.0;65.0;30.0;1_universités;28760
2020;Public;0830766G;Université de Toulon;83;Var;Provence Alpes Côte d'Azur;Nice;formation non selec;Licence;Université de Toulon - Licence - Informatique - Licence Informatique;Licence - Sciences - technologies - santé;;Informatique;Licence Informatique;https://dossier.parcoursup.fr/Candidat/carte?ACTION=2&g_ti_cod=20400&g_ta_cod=20400;43.1369, 6.01684;120;849;125;825;;448;91;116;35;16;9;245;24;2;1;3;18;825;21;;;448;91;116;35;16;9;245;597;116;12;105;11;12.0;78.0;95.0;;19;72;52;15;5;44;1;42;25;3;1;22;5;2;;;50;50;10.34;67.24;81.9;10.34;69.44;69.44;;26.39;62.07;1.3888888888888888;58.333333333333336;34.72222222222222;4.166666666666666;1.3888888888888888;72.22222222222221;30.56;20.833333333333336;6.94;6.944444444444445;2.78;369.0;82.0;36.0;15.0;6.0;2.0;186.0;Tous les candidats;687.0;;;;;;;;;83.0;8.0;68.0;23.0;1_universités;20400
2020;Public;0561739L;Université de Bretagne Sud - Site de Vannes;56;Morbihan;Bretagne;Rennes;formation non selec;Licence_Las;Université de Bretagne Sud - Site de Vannes - Licence - Portail Sciences de la vie et de la terre - Bio et Ecologie générale, Bio cellulaire moléculaire, Sciences de l'environnement, Bio Biotech, Bio Biosanté,TACB;Licence - Sciences - technologies - santé;;Sciences de la vie et de la terre;Bio et Ecologie générale, Bio cellulaire moléculaire, Sciences de l'environnement, Bio Biotech, Bio Biosanté,TACB;https://dossier.parcoursup.fr/Candidat/carte?ACTION=2&g_ti_cod=28506&g_ta_cod=28507;47.6451, -2.7454;46;661;501;656;;416;52;30;8;2;0;208;5;0;0;0;5;656;3;;;416;52;30;8;2;0;208;251;43;34;43;0;3.0;16.0;29.0;;5;26;25;1;0;17;0;6;11;5;4;19;1;0;;;20;20;6.98;37.21;67.44;79.07;76.92;76.92;;19.23;60.47;0.0;23.076923076923077;42.30769230769231;19.230769230769234;15.384615384615385;96.15384615384616;73.08;3.8461538461538463;3.85;0.0;0.0;131.0;20.0;4.0;1.0;0.0;0.0;116.0;Groupe par défaut;658.0;;;;;;;;;57.0;0.0;95.0;5.0;1_universités;28507
2020;Public;0061478Z;Lycée Léonard De Vinci;06;Alpes-Maritimes;Provence Alpes Côte d'Azur;Nice;formation selective;BTS;Lycée Léonard De Vinci - BTS - Production - Travaux publics;BTS - Production;;Travaux publics;;https://dossier.parcoursup.fr/Candidat/carte?ACTION=2&g_ti_cod=2309&g_ta_cod=2309;43.6051, 7.07146;15;219;23;219;;41;4;79;20;55;14;44;0;0;0;0;0;150;0;;;30;4;49;15;55;14;16;45;14;2;14;0;2.0;13.0;14.0;;0;12;4;1;7;2;0;6;5;1;0;1;1;4;1;0;12;12;14.29;92.86;100.0;14.29;100.0;100.0;8.33;0.0;85.71;0.0;50.0;41.66666666666667;8.333333333333332;0.0;33.33333333333333;8.33;8.333333333333332;8.33;58.333333333333336;33.33;15.0;3.0;7.0;2.0;21.0;5.0;2.0;Bacheliers professionnels toutes séries;30.0;Tous les candidats sauf les Bac technologiques et Bac professionnels;20;Bacheliers technologiques toutes séries;9;;;;;27.0;50.0;29.0;21.0;2_Lycées;2309
2020;Public;0941355M;Lycée professionnel Paul Bert;94;Val-de-Marne;Ile-de-France;Créteil;formation selective;BTS;Lycée professionnel Paul Bert - BTS - Services - Gestion de la PME;BTS - Services;;Gestion de la PME;;https://dossier.parcoursup.fr/Candidat/carte?ACTION=2&g_ti_cod=11523&g_ta_cod=11523;48.8155, 2.42421;35;1128;677;959;;39;9;161;57;456;253;303;169;0;113;0;56;677;3;;;14;2;53;15;442;247;168;172;35;26;33;1;0.0;21.0;32.0;;17;28;1;4;23;7;0;6;17;4;1;0;3;19;5;4;15;26;0.0;60.0;91.43;74.29;53.57;92.86;17.86;60.71;80.0;0.0;21.428571428571427;60.71428571428571;14.285714285714285;3.571428571428571;3.571428571428571;0.0;14.285714285714285;10.71;82.14285714285714;67.86;9.0;2.0;27.0;11.0;98.0;58.0;38.0;Tous les candidats sauf les Bac technologiques et Bac professionnels;16.0;Bacheliers technologiques toutes séries;63;Bacheliers professionnels toutes séries;226;;;;;32.0;83.0;6.0;11.0;2_Lycées;11523
2020;Public;0601832R;Lycée Jean Monnet;60;Oise;Hauts-de-France;Amiens;formation selective;BTS;Lycée Jean Monnet - BTS - Services - Management Commercial Opérationnel;BTS - Services;;Management Commercial Opérationnel;;https://dossier.parcoursup.fr/Candidat/carte?ACTION=2&g_ti_cod=7271&g_ta_cod=7271;49.2228, 2.89411;35;562;279;452;;54;9;138;37;153;40;107;110;0;0;72;38;210;1;;;43;7;54;16;87;24;26;163;27;13;25;0;6.0;23.0;24.0;;3;23;4;11;8;4;0;9;9;3;2;1;8;5;8;5;23;23;22.22;85.19;88.89;48.15;100.0;100.0;34.78;13.04;85.19;0.0;39.130434782608695;39.130434782608695;13.043478260869565;8.695652173913043;17.391304347826086;4.35;47.82608695652174;34.78;34.78260869565217;21.74;25.0;4.0;42.0;10.0;74.0;22.0;22.0;Bacheliers professionnels toutes séries;85.0;Bacheliers technologiques toutes séries;57;Tous les candidats sauf les Bac technologiques et Bac professionnels;47;;;;;42.0;30.0;22.0;48.0;2_Lycées;7271
2020;Public;0750647W;Lycée Turgot;75;Paris;Ile-de-France;Paris;formation selective;CPGE;Lycée Turgot - CPGE - ECT - Option technologique;Classe préparatoire économique et commerciale;;ECT - Option technologique;;https://dossier.parcoursup.fr/Candidat/carte?ACTION=2&g_ti_cod=8947&g_ta_cod=8947;48.8662, 2.35843;48;762;393;762;169;0;0;722;214;0;0;40;0;0;0;0;0;388;0;70;320;0;0;381;115;0;0;7;157;48;22;48;0;14.0;46.0;47.0;1;13;48;0;48;0;0;0;0;1;23;24;0;48;0;4;0;17;41;29.17;95.83;97.92;45.83;35.42;85.42;8.33;27.08;100.0;0.0;0.0;2.083333333333333;47.91666666666667;50.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0;154.0;39.0;0.0;0.0;3.0;Tous les candidats;284.0;;;;;;;;;37.0;0.0;0.0;100.0;2_Lycées;8947
2020;Public;0690042W;Lycée Colbert;69;Rhône;Auvergne-Rhône-Alpes;Lyon;formation selective;BTS;Lycée Colbert - BTS - Services - Tourisme;BTS - Services;;Tourisme;;https://dossier.parcoursup.fr/Candidat/carte?ACTION=2&g_ti_cod=8231&g_ta_cod=8231;45.745, 4.85987;59;2641;2091;2597;;677;175;641;237;535;306;744;44;0;27;0;17;589;3;;;174;34;153;39;177;99;85;197;53;49;50;3;14.0;47.0;49.0;;17;45;7;26;12;8;0;8;22;10;5;7;18;12;0;0;28;28;26.42;88.68;92.45;92.45;62.22;62.22;0;37.78;84.91;0.0;17.77777777777778;48.888888888888886;22.22222222222222;11.11111111111111;15.555555555555555;15.56;57.77777777777777;40.0;26.666666666666668;26.67;20.0;4.0;109.0;33.0;44.0;21.0;24.0;Tous les candidats sauf les Bac technologiques et Bac professionnels;35.0;Bacheliers technologiques toutes séries;176;Bacheliers professionnels toutes séries;60;;;;;10.0;25.0;17.0;58.0;2_Lycées;8231
2020;Public;0750651A;Lycée Simone Weil;75;Paris;Ile-de-France;Paris;formation selective;BTS;Lycée Simone Weil - BTS - Services - Comptabilité et gestion;BTS - Services;;Comptabilité et gestion;;https://dossier.parcoursup.fr/Candidat/carte?ACTION=2&g_ti_cod=8959&g_ta_cod=8959;48.8612, 2.36403;24;848;421;848;;137;44;245;120;217;116;249;0;0;0;0;0;547;0;;;125;39;185;98;132;71;105;137;22;12;21;0;2.0;12.0;17.0;;9;17;6;7;4;5;0;6;10;1;0;1;6;4;2;2;9;16;9.09;54.55;77.27;54.55;52.94;94.12;11.76;52.94;77.27;0.0;35.294117647058826;58.82352941176471;5.88235294117647;0.0;35.294117647058826;5.88;41.17647058823529;35.29;23.52941176470588;23.53;23.0;12.0;44.0;28.0;40.0;13.0;30.0;Tous les candidats sauf les Bac technologiques et Bac professionnels;48.0;Bacheliers technologiques toutes séries;124;Bacheliers professionnels toutes séries;109;;;;;33.0;23.0;36.0;41.0;2_Lycées;8959
2020;Public;0624430D;GAMBETTA CARNOT;62;Pas-de-Calais;Hauts-de-France;Lille;formation selective;BTS;GAMBETTA CARNOT - BTS - Production - Electrotechnique;BTS - Production;;Electrotechnique;;https://dossier.parcoursup.fr/Candidat/carte?ACTION=2&g_ti_cod=7334&g_ta_cod=7334;50.2877, 2.77706;33;182;12;182;;9;3;34;12;84;30;55;0;0;0;0;0;182;0;;;9;3;34;12;84;30;55;87;32;0;32;0;11.0;30.0;30.0;;13;31;1;9;21;1;0;12;15;4;0;0;6;13;10;0;31;31;34.38;93.75;93.75;0.0;100.0;100.0;32.26;41.94;96.88;0.0;38.70967741935484;48.38709677419355;12.903225806451612;0.0;3.225806451612903;0.0;29.03225806451613;19.35;67.74193548387096;41.94;2.0;1.0;20.0;10.0;63.0;22.0;2.0;Tous les candidats sauf les Bac technologiques et Bac professionnels;2.0;Bacheliers professionnels toutes séries;75;Bacheliers technologiques toutes séries;27;;;;;57.0;66.0;3.0;31.0;2_Lycées;7334
