session;contrat_etab;cod_uai;g_ea_lib_vx;dep;dep_lib;region_etab_aff;acad_mies;fili;form_lib_voe_acc;regr_forma;fil_lib_voe_acc;detail_forma;lien_form_psup;g_olocalisation_des_formations;capa_fin;voe_tot;voe_tot_f;nb_voe_pp;nb_voe_pp_internat;nb_voe_pp_bg;nb_voe_pp_bg_brs;nb_voe_pp_bt;nb_voe_pp_bt_brs;nb_voe_pp_bp;nb_voe_pp_bp_brs;nb_voe_pp_at;nb_voe_pc;nb_voe_pc_bg;nb_voe_pc_bt;nb_voe_pc_bp;nb_voe_pc_at;nb_cla_pp;nb_cla_pc;nb_cla_pp_internat;nb_cla_pp_pasinternat;nb_cla_pp_bg;nb_cla_pp_bg_brs;nb_cla_pp_bt;nb_cla_pp_bt_brs;nb_cla_pp_bp;nb_cla_pp_bp_brs;nb_cla_pp_at;prop_tot;rang_der_max;acc_tot;acc_tot_f;acc_pp;acc_pc;acc_debutpp;acc_datebac;acc_finpp;acc_internat;acc_brs;acc_neobac;acc_bg;acc_bt;acc_bp;acc_at;acc_mention_nonrenseignee;acc_sansmention;acc_ab;acc_b;acc_tb;acc_bg_mention;acc_bt_mention;acc_bp_mention;acc_term;acc_term_f;acc_aca_orig;acc_aca_orig_idf;pct_acc_debutpp;pct_acc_datebac;pct_acc_finpp;pct_f;pct_aca_orig;pct_aca_orig_idf;pct_etab_orig;pct_bours;pct_neobac;pct_mention_nonrenseignee;pct_sansmention;pct_ab;pct_b;pct_tb;pct_bg;pct_bg_mention;pct_bt;pct_bt_mention;pct_bp;pct_bp_mention;tri
2019;Public;0142257C;I.U.T de Caen ( Antenne de Vire );14;Calvados;Normandie;Caen;DUT;DUT - Production;;Hygiène Sécurité Environnement;;https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=2945&g_ta_cod=2945;48.8405, -0.8792;52;699;218;699;;393;37;175;27;32;8;99;0;0;0;0;0;638;0;;;381;37;144;19;27;5;86;261;;57;16;57;0;6.0;47.0;57.0;;9;48;31;13;4;9;0;25;15;6;2;13;7;3;;;25;25;10.5263157895;82.4561403509;100.0;28.06640625;52.078125;52.078125;;18.75;84.203125;0.0;52.078125;31.25;12.5;4.166015625;64.578125;27.08203125;27.08203125;14.58203125;8.33203125;6.25;1_universités
2019;Public;0673021V;Université de Strasbourg;67;Bas-Rhin;Grand Est;Strasbourg;Licence;Licence - Arts-lettres-langues;;Langues, littératures & civilisations étrangères et régionales;Études hébraïques;https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=8042&g_ta_cod=8042;48.578984, 7.7672997;20;27;14;14;;5;0;0;0;1;1;8;13;3;0;0;10;14;10;;;5;0;0;0;1;1;8;24;14;4;1;1;3;1.0;1.0;2.0;;0;0;0;0;0;4;0;0;0;0;0;0;0;0;;;0;0;25.0;25.0;50.0;25.0;;;;;0.0;;;;;;;;;;;;1_universités
2019;Public;0490970N;Université Angers;49;Maine-et-Loire;Pays de la Loire;Nantes;Licence;Licence - Droit-économie-gestion;;Droit;Université Angers;;47.4769, -0.54938038;380;2613;1969;2613;;2074;263;202;65;42;6;295;0;0;0;0;0;2604;0;;;2073;263;202;65;42;6;287;1193;1895;376;281;376;0;150.0;351.0;375.0;;59;338;316;19;3;38;0;120;111;75;32;209;7;2;;;315;315;39.8936170213;93.3510638298;99.7340425532;74.71875;93.1875;93.1875;;17.453125;89.890625;0.0;35.5;32.8359375;22.1875;9.466796875;93.484375;61.828125;5.62109375;2.07080078125;0.887573242188;0.591674804688;1_universités
2019;Public;0751719L;Université Sorbonne Nouvelle Paris 3;75;Paris;Ile-de-France;Paris;Licence;Licence - Arts-lettres-langues;;Langues, littératures & civilisations étrangères et régionales;Espagnol - Mineure Sciences du langage;https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=24057&g_ta_cod=24057;48.840519, 2.3551957;5;45;40;45;;33;5;0;0;1;0;11;0;0;0;0;0;45;0;;;33;5;0;0;1;0;11;17;23;5;4;5;0;1.0;5.0;5.0;;2;4;4;0;0;1;0;2;2;0;0;2;0;0;;;0;1;20.0;100.0;100.0;80.0;0.0;25.0;;50.0;80.0;0.0;50.0;50.0;0.0;0.0;100.0;50.0;0.0;0.0;0.0;0.0;1_universités
2019;Privé;0592808G;Institut Catholique de Lille - Faculté des Lettres et Sciences Humaines;59;Nord;Hauts-de-France;Lille;Licence;Licence - Arts-lettres-langues;;Langues, littératures & civilisations étrangères et régionales;LCE Anglais;https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=12646&g_ta_cod=12646;50.6324, 3.0462402;200;149;113;123;;90;12;4;1;2;2;27;26;5;4;0;17;123;24;;;90;12;4;1;2;2;27;147;123;30;21;24;6;23.0;24.0;29.0;;3;22;18;4;0;8;0;4;8;5;5;16;2;0;;;14;14;76.6666666667;80.0;96.6666666667;70.0;63.6328125;63.6328125;;13.634765625;73.328125;0.0;18.1796875;36.359375;22.7265625;22.7265625;81.8125;72.71875;18.1796875;9.08984375;0.0;0.0;1_universités
2019;Public;0941111X;Université Paris- Est-Créteil Val de Marne - UPEC (Paris 12);94;Val-de-Marne;Ile-de-France;Créteil;Licence;Licence - Sciences - technologies - santé;;Sciences de la vie et de la terre;Parcours international Biologie Santé;https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=23850&g_ta_cod=23850;48.787854, 2.4437;24;2172;1682;2172;;1182;202;95;33;5;1;890;0;0;0;0;0;606;0;;;355;48;0;0;0;0;251;167;417;23;22;23;0;3.0;10.0;18.0;;4;10;10;0;0;13;0;2;7;1;0;8;0;0;;;6;7;13.0434782609;43.4782608696;78.2608695652;95.640625;60.0;70.0;;40.0;43.4765625;0.0;20.0;70.0;10.0;0.0;100.0;80.0;0.0;0.0;0.0;0.0;1_universités
2019;Public;0673021V;Université de Strasbourg;67;Bas-Rhin;Grand Est;Strasbourg;Licence;Licence - Arts-lettres-langues;;Langues, littératures & civilisations étrangères et régionales;Langues et interculturalité - Ensemble Europe centrale et orientale;https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=8048&g_ta_cod=8048;48.579345, 7.7671365;45;174;131;125;;84;11;6;0;4;2;31;49;11;3;8;27;125;35;;;84;11;6;0;4;2;31;136;124;28;22;18;10;8.0;18.0;25.0;;1;15;14;1;0;13;1;3;5;2;4;11;0;0;;;8;8;28.5714285714;64.2857142857;89.2857142857;78.5625;53.328125;53.328125;;6.666015625;53.5703125;6.666015625;20.0;33.328125;13.33203125;26.6640625;93.328125;73.328125;6.666015625;0.0;0.0;0.0;1_universités
2019;Public;0132123M;Aix Marseille Université - site d'Aix-en-Provence;13;Bouches-du-Rhône;Provence Alpes Côte d'Azur;Aix-Marseille;Licence;Licence - Arts-lettres-langues;;Langues étrangères appliquées;LEA Anglais-Italien;https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=2741&g_ta_cod=2741;43.491, 5.3333;105;569;410;467;;305;70;44;16;29;11;89;102;17;10;8;67;464;93;;;304;70;44;16;29;11;87;473;462;84;49;47;35;17.0;47.0;66.0;;10;51;34;11;6;33;2;29;12;7;1;15;3;2;;;45;45;20.2380952381;55.9523809524;78.5714285714;58.328125;88.234375;88.234375;;19.60546875;60.7109375;3.92138671875;56.859375;23.52734375;13.724609375;1.96069335938;66.65625;29.41015625;21.56640625;5.8818359375;11.763671875;3.92138671875;1_universités
2019;Public;0870669E;Université de Limoges;87;Haute-Vienne;Nouvelle-Aquitaine;Limoges;Licence;Licence - Sciences - technologies - santé;;Sciences et Techniques des Activités Physiques et Sportives;STAPS  Limoges;https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=10704&g_ta_cod=10704;45.836, 1.2615794;170;1608;474;1608;;1156;162;171;29;20;7;261;0;0;0;0;0;1607;0;;;1156;162;171;29;20;7;260;352;396;170;46;170;0;71.0;139.0;159.0;;27;157;136;17;4;13;1;111;31;11;3;38;6;1;;;127;127;41.7647058824;81.7647058824;93.5294117647;27.05859375;80.890625;80.890625;;17.1953125;92.34375;0.636840820312;70.6875;19.7421875;7.005859375;1.91064453125;86.609375;24.203125;10.826171875;3.8212890625;2.54736328125;0.636840820312;1_universités
2019;Public;0381516T;IUT 1 GRENOBLE - ENEPS;38;Isère;Auvergne-Rhône-Alpes;Grenoble;DUT;DUT - Production;;Génie mécanique et productique;;https://dossier.parcoursup.fr/Candidat/carte?g_ti_cod=14474&g_ta_cod=14474;45.165383, 5.7672757;24;114;7;105;;0;0;0;0;100;18;5;9;0;0;5;4;52;1;;;0;0;0;0;50;11;2;48;51;20;1;19;1;5.0;19.0;20.0;;4;20;0;0;20;0;1;1;8;7;3;0;0;18;;;16;16;25.0;95.0;100.0;5.0;80.0;80.0;;20.0;100.0;5.0;5.0;40.0;35.0;15.0;0.0;0.0;0.0;0.0;100.0;90.0;1_universités
