session;contrat_etab;cod_uai;g_ea_lib_vx;dep;dep_lib;region_etab_aff;acad_mies;ville_etab;lib_for_voe_ins;select_form;fili;lib_comp_voe_ins;form_lib_voe_acc;fil_lib_voe_acc;detail_forma;g_olocalisation_des_formations;capa_fin;voe_tot;voe_tot_f;nb_voe_pp;nb_voe_pp_internat;nb_voe_pp_bg;nb_voe_pp_bg_brs;nb_voe_pp_bt;nb_voe_pp_bt_brs;nb_voe_pp_bp;nb_voe_pp_bp_brs;nb_voe_pp_at;nb_voe_pc;nb_voe_pc_bg;nb_voe_pc_bt;nb_voe_pc_bp;nb_voe_pc_at;nb_cla_pp;nb_cla_pc;nb_cla_pp_internat;nb_cla_pp_pasinternat;nb_cla_pp_bg;nb_cla_pp_bg_brs;nb_cla_pp_bt;nb_cla_pp_bt_brs;nb_cla_pp_bp;nb_cla_pp_bp_brs;nb_cla_pp_at;prop_tot;acc_tot;acc_tot_f;acc_pp;acc_pc;acc_debutpp;acc_datebac;acc_finpp;acc_internat;acc_brs;acc_neobac;acc_bg;acc_bt;acc_bp;acc_at;acc_mention_nonrenseignee;acc_sansmention;acc_ab;acc_b;acc_tb;acc_tbf;acc_bg_mention;acc_bt_mention;acc_bp_mention;acc_term;acc_term_f;acc_aca_orig;acc_aca_orig_idf;pct_acc_debutpp;pct_acc_datebac;pct_acc_finpp;pct_f;pct_aca_orig;pct_aca_orig_idf;pct_etab_orig;pct_bours;pct_neobac;pct_mention_nonrenseignee;pct_sansmention;pct_ab;pct_b;pct_tb;pct_tbf;pct_bg;pct_bg_mention;pct_bt;pct_bt_mention;pct_bp;pct_bp_mention;prop_tot_bg;prop_tot_bg_brs;prop_tot_bt;prop_tot_bt_brs;prop_tot_bp;prop_tot_bp_brs;prop_tot_at;lib_grp1;ran_grp1;lib_grp2;ran_grp2;lib_grp3;ran_grp3;list_com;tri;cod_aff_form;detail_forma2;lien_form_psup;taux_acces_ens;part_acces_gen;part_acces_tec;part_acces_pro;etablissement_id_paysage;composante_id_paysage
2025;Public;0121471J;Institut national universitaire Champollion - Campus de Rodez;12;Aveyron;Occitanie;Toulouse;Rodez;Licence - Sciences et Techniques des Activités Physiques et Sportives - Parcours Accès Kiné;formation non sélective;Licence;Institut national universitaire Champollion - Campus de Rodez - Licence - Sciences et Techniques des Activités Physiques et Sportives - Parcours Accès Kiné;Licence - Sciences - technologies - santé;Sciences et Techniques des Activités Physiques et Sportives;Accès Kiné;44.35624, 2.56417;20;1065;395;1065;;729;50;70;10;6;4;260;0;0;0;0;0;1065;0;;;729;50;70;10;6;4;260;62;20;9;20;0;5;16;17;;2;20;19;1;0;0;0;1;2;13;3;1;18;1;0;;;18;18;25.0;80.0;85.0;45.0;90.0;90.0;0.0;10.0;100.0;0.0;5.0;10.0;65.0;15.0;5.0;95.0;90.0;5.0;5.0;0.0;0.0;42.0;2.0;4.0;2.0;1.0;1.0;15.0;Tous les candidats;71;;;;;Liste d'appel commune à plusieurs formations;1_universités;2519;;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=2519&typeBac=0&originePc=0;7;93;5;2;;
2025;Public;0596039U;Université d'Artois - Site de Douai;59;Nord;Hauts-de-France;Lille;Douai;Licence - Portail Droit -  classique;formation non sélective;Licence;Université d'Artois - Site de Douai - Licence - Portail Droit -  classique;Licence - Droit-économie-gestion;Droit;classique;50.3694, 3.0739;435;2677;1963;2677;;1913;378;321;109;50;24;393;0;0;0;0;0;2675;0;;;1913;378;321;109;50;24;391;1880;434;318;434;0;220;366;421;;77;380;324;49;7;54;0;107;152;85;34;2;242;27;4;;;377;377;51.0;84.0;97.0;73.0;99.0;99.0;0.0;20.0;88.0;0.0;28.0;40.0;22.0;9.0;1.0;85.0;64.0;13.0;7.0;2.0;1.0;1537.0;306.0;103.0;60.0;23.0;14.0;217.0;Tous les candidats;2225;;;;;Liste d'appel propre à cette formation;1_universités;7190;;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=7190&typeBac=0&originePc=0;83;89;9;2;;
2025;Public;0692437Z;Université Jean Moulin Lyon 3;69;Rhône;Auvergne-Rhône-Alpes;Lyon;Lyon 8e  Arrondissement;Licence - Langues étrangères appliquées - Parcours Anglais-Arabe - Grands débutants (cursus 4 ans);formation non sélective;Licence;Université Jean Moulin Lyon 3 - Licence - Langues étrangères appliquées - Parcours Anglais-Arabe - Grands débutants (cursus 4 ans);Licence - Arts-lettres-langues;Langues étrangères appliquées;Anglais-Arabe - Grands débutants (cursus 4 ans);45.74818, 4.86046;35;386;313;386;;179;67;35;14;26;15;146;0;0;0;0;0;378;0;;;179;67;35;14;26;15;138;142;35;29;35;0;3;30;32;;9;30;27;3;0;5;0;12;8;10;0;0;15;3;0;;;16;16;9.0;86.0;91.0;83.0;53.0;53.0;0.0;30.0;86.0;0.0;40.0;27.0;33.0;0.0;0.0;90.0;50.0;10.0;10.0;0.0;0.0;100.0;31.0;5.0;2.0;0.0;0.0;37.0;;183;;;;;Liste d'appel commune à plusieurs formations;1_universités;43378;;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=43378&typeBac=0&originePc=0;47;96;4;0;;
2025;Public;0134248X;Aix-Marseille Université - Site de Marseille Timone;13;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;Marseille  5e  Arrondissement;Licence - Parcours d'Accès Spécifique Santé (PASS);formation non sélective;PASS;Aix-Marseille Université - Site de Marseille Timone - Licence - Parcours d'Accès Spécifique Santé (PASS);Licence - Sciences - technologies - santé;Parcours d'Accès Spécifique Santé (PASS);;43.2905, 5.40023;100;7420;5514;7420;;5269;1094;400;171;204;93;1547;0;0;0;0;0;7402;0;;;5269;1094;400;171;204;93;1529;1401;97;81;97;0;32;54;75;;24;91;90;1;0;6;0;1;23;47;19;1;89;1;0;;;75;75;33.0;56.0;77.0;84.0;82.0;82.0;0.0;26.0;94.0;0.0;1.0;25.0;52.0;21.0;1.0;99.0;98.0;1.0;1.0;0.0;0.0;1292.0;279.0;3.0;3.0;0.0;0.0;106.0;Tous les candidats;1833;;;;;Liste d'appel propre à cette formation;1_universités;28098;;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=28098&typeBac=0&originePc=0;25;99;1;0;;
2025;Public;0753488J;INALCO;75;Paris;Ile-de-France;Paris;Paris 13e  Arrondissement;Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Asie du Sud et Himalaya -  Népali;formation non sélective;Licence;INALCO - Licence - Langues, littératures et civilisations étrangères et régionales - Parcours Asie du Sud et Himalaya -  Népali;Licence - Arts-lettres-langues;Langues, littératures et civilisations étrangères et régionales;Asie du Sud et Himalaya -  Népali;48.8274, 2.37623;10;37;15;3;;2;0;0;0;0;0;1;34;2;0;2;30;3;12;;;2;0;0;0;0;0;1;15;7;2;1;6;1;1;3;;0;1;1;0;0;6;0;1;0;0;0;0;0;0;0;;;0;1;14.0;14.0;43.0;29.0;0.0;100.0;0.0;0.0;14.0;0.0;100.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;12.0;Tous les candidats;3;;;;;Liste d'appel commune à plusieurs formations;1_universités;9391;;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=9391&typeBac=0&originePc=0;100;100;0;0;;
2025;Public;0311383K;Université Toulouse 2 Jean Jaurès;31;Haute-Garonne;Occitanie;Toulouse;Toulouse;Licence - Histoire - Parcours Histoire bilingue Français-Anglais;formation sélective;Licence;Université Toulouse 2 Jean Jaurès - Licence - Histoire - Parcours Histoire bilingue Français-Anglais;Licence - Sciences humaines et sociales;Histoire;Histoire bilingue Français-Anglais;43.5784, 1.40266;28;738;518;738;;538;102;19;6;12;5;169;0;0;0;0;0;438;0;;;372;62;7;1;4;1;55;111;28;17;28;0;1;19;25;;8;26;26;0;0;2;0;0;2;13;10;1;26;0;0;;;14;14;4.0;68.0;89.0;61.0;54.0;54.0;0.0;31.0;93.0;0.0;0.0;8.0;50.0;38.0;4.0;100.0;100.0;0.0;0.0;0.0;0.0;98.0;20.0;0.0;0.0;0.0;0.0;13.0;Tous les candidats;187;;;;;Liste d'appel commune à plusieurs formations;1_universités;12216;;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=12216&typeBac=0&originePc=0;25;100;0;0;;
2025;Public;0342490X;Université de Montpellier;34;Hérault;Occitanie;Montpellier;Montpellier;Licence - Portail Physique - Licence - physique/chimie/sciences de l'ingénieur (PCSI) - option Kinésithérapie;formation non sélective;Licence;Université de Montpellier - Licence - Portail Physique - Licence - physique/chimie/sciences de l'ingénieur (PCSI) - option Kinésithérapie;Licence - Sciences - technologies - santé;Physique;Licence - physique/chimie/sciences de l'ingénieur (PCSI) - option Kinésithérapie;43.63229, 3.86497;20;554;266;554;;232;50;11;4;4;1;307;0;0;0;0;0;554;0;;;232;50;11;4;4;1;307;200;20;6;20;0;3;7;10;;0;9;9;0;0;11;0;1;2;5;1;0;8;0;0;;;8;8;15.0;35.0;50.0;30.0;89.0;89.0;0.0;0.0;45.0;0.0;11.0;22.0;56.0;11.0;0.0;100.0;89.0;0.0;0.0;0.0;0.0;79.0;20.0;2.0;2.0;0.0;0.0;119.0;Tous les candidats;181;;;;;Liste d'appel commune à plusieurs formations;1_universités;32431;;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=32431&typeBac=0&originePc=0;33;100;0;0;;
2025;Public;0761904G;Université de Rouen Normandie - Campus Mont-Saint-Aignan;76;Seine-Maritime;Normandie;Normandie;Mont-Saint-Aignan;Licence - Musicologie - Parcours Musicien Interprète;formation sélective;Licence;Université de Rouen Normandie - Campus Mont-Saint-Aignan - Licence - Musicologie - Parcours Musicien Interprète;Licence - Arts-lettres-langues;Musicologie;Musicien Interprète;49.4583, 1.06895;40;125;66;90;;42;14;17;3;3;1;28;35;10;1;1;23;9;3;;;3;1;1;0;1;0;4;12;2;0;0;2;0;0;2;;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;;;0;0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;1.0;0.0;1.0;0.0;7.0;Tous les candidats;9;;;;;Liste d'appel commune à plusieurs formations;1_universités;9691;;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=9691&typeBac=0&originePc=0;10;60;20;20;;
2025;Public;0370800U;Université de Tours;37;Indre-et-Loire;Centre;Orléans-Tours;Tours;Licence - Langues étrangères appliquées - Parcours LEA / Anglais / Italien;formation non sélective;Licence;Université de Tours - Licence - Langues étrangères appliquées - Parcours LEA / Anglais / Italien;Licence - Arts-lettres-langues;Langues étrangères appliquées;LEA / Anglais / Italien;47.3962, 0.6818;40;262;200;213;;112;18;18;7;13;10;70;49;11;3;6;29;211;34;;;112;18;18;7;13;10;68;222;39;28;23;16;16;23;24;;2;11;7;2;2;28;0;4;2;5;0;0;5;1;1;;;8;8;41.0;59.0;62.0;72.0;73.0;73.0;0.0;18.0;28.0;0.0;36.0;18.0;45.0;0.0;0.0;64.0;45.0;18.0;9.0;18.0;9.0;113.0;18.0;17.0;8.0;13.0;10.0;79.0;Tous les candidats;211;;;;;Liste d'appel commune à plusieurs formations;1_universités;24047;;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=24047&typeBac=0&originePc=0;99;78;13;9;;
2025;Public;9730429D;Université de Guyane;973;Guyane;Guyane;Guyane;Cayenne;Licence - Administration économique et sociale;formation non sélective;Licence;Université de Guyane - Licence - Administration économique et sociale;Licence - Droit-économie-gestion;Administration économique et sociale;;4.93198, -52.30111;300;1075;729;871;;408;202;165;88;170;75;128;204;31;28;53;92;870;200;;;408;202;165;88;170;75;127;956;288;187;188;100;78;190;224;;96;196;84;35;77;92;0;124;58;13;1;0;27;9;36;;;195;195;27.0;66.0;78.0;65.0;99.0;99.0;0.0;49.0;68.0;0.0;63.0;30.0;7.0;1.0;0.0;43.0;14.0;18.0;5.0;39.0;18.0;372.0;175.0;172.0;95.0;209.0;95.0;203.0;Tous les candidats;870;;;;;Liste d'appel commune à plusieurs formations;1_universités;39652;;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=39652&typeBac=0&originePc=0;100;55;22;23;;
